Job_Title,Experience_Level,Employment_Type,Work_Models,Work_Year,Employee_Residence,Salary, Salary_Currency ,Company_Location,Company_Size,Salary_Range,Per_Year_Pakage
ML Engineer,Entry-level,Part-time,Remote,2020,Germany,14000, EUR ,Germany,Small,Low,168000
Data Science,Entry-level,Part-time,Hybrid,2024,Germany,15000, EUR ,Germany,Medium,Low,180000
Data Analyst,Entry-level,Full-time,On-site,2022,Indonesia,15000, USD ,Indonesia,Large,Low,180000
Business Intelligence Developer,Mid-level,Full-time,Remote,2022,Ghana,15000, USD ,Ghana,Medium,Low,180000
Machine Learning Developer,Entry-level,Full-time,Remote,2021,Thailand,15000, USD ,Thailand,Large,Low,180000
Staff Data Analyst,Executive-level,Full-time,On-site,2020,Nigeria,15000, USD ,Canada,Medium,Low,180000
Research Engineer,Entry-level,Full-time,Remote,2022,Russia,15662, EUR ,Russia,Medium,Low,187944
Data Scientist,Entry-level,Full-time,Remote,2023,Ecuador,16000, USD ,Ecuador,Large,Low,192000
Business Data Analyst,Mid-level,Full-time,Remote,2023,Armenia,17000, USD ,Russia,Large,Low,204000
Data Analyst Lead,Entry-level,Full-time,Remote,2023,Nigeria,18000, USD ,Nigeria,Small,Low,216000
Data Engineer,Entry-level,Full-time,Hybrid,2023,India,18000, USD ,India,Medium,Low,216000
Data Scientist,Entry-level,Full-time,Remote,2023,Greece,18000, EUR ,Greece,Large,Low,216000
Big Data Engineer,Mid-level,Full-time,On-site,2021,Moldova,18000, USD ,Moldova,Small,Low,216000
Data Scientist,Entry-level,Part-time,Hybrid,2020,Italy,19000, EUR ,Italy,Small,Low,228000
Applied Scientist,Mid-level,Full-time,Remote,2023,Nigeria,20000, USD ,United States,Large,Low,240000
AI Scientist,Entry-level,Full-time,Remote,2023,Turkey,20000, USD ,Turkey,Small,Low,240000
AI Engineer,Entry-level,Full-time,Hybrid,2023,Portugal,20000, EUR ,Portugal,Large,Low,240000
Business Data Analyst,Entry-level,Full-time,On-site,2023,Spain,20000, EUR ,Spain,Medium,Low,240000
Data Analyst,Entry-level,Full-time,Hybrid,2022,Costa Rica,20000, USD ,United States,Medium,Low,240000
ML Engineer,Entry-level,Full-time,Remote,2022,Portugal,20000, EUR ,Portugal,Large,Low,240000
Data Analytics Engineer,Entry-level,Full-time,On-site,2022,Pakistan,20000, USD ,Pakistan,Medium,Low,240000
Data Analyst,Mid-level,Full-time,Remote,2022,Greece,20000, USD ,Greece,Small,Low,240000
Data Engineer,Mid-level,Freelance,On-site,2021,Italy,20000, USD ,United States,Large,Low,240000
Machine Learning Engineer,Entry-level,Full-time,Remote,2021,India,20000, USD ,India,Small,Low,240000
Machine Learning Research Engineer,Entry-level,Full-time,Hybrid,2021,France,20000, USD ,France,Medium,Low,240000
Data Analyst,Entry-level,Full-time,Remote,2020,Portugal,20000, EUR ,Portugal,Medium,Low,240000
Product Data Analyst,Mid-level,Full-time,On-site,2020,Honduras,20000, USD ,Honduras,Small,Low,240000
Data Science Consultant,Mid-level,Freelance,Remote,2023,Pakistan,21000, USD ,Luxembourg,Small,Low,252000
